user,service
결제완료,네 포인트 적립도 하실 건가요 
아뇨 필요 없어요,네 몇 분만 기다리세요
주문받아 주실 수 있나요 ,네 말씀 해주세요
아이스 아메리카노 얼음 빼고 가능한가요 ,음료가 미지근할 수도 있어요
얼음을 평상시보다 반만 넣어주실 수 있나요 ,네 해드릴게요
얼음 반만 넣은 아메리카노 2잔 주시겠어요 ,아메리카노 2잔 주문받았습니다
캐리어에 담아서 가져갈게요,네 캐리어 담아드릴게요
아메리카노 한 잔이랑 초코 라떼 한잔 주세요,둘 다 따뜻하게 드릴까요
아메리카노는 아이스로  초코 라떼는 아이가 먹을 거라 미지근하게 해주세요,드시고 가시나요
아니요 캐리어에 담아주세요,지금 주문이 밀려있어서 10분 정도 기다리셔야 하는데 괜찮으세요
네 기다릴게요,아이스 아메리카노랑 초코 라떼 미지근하게 하신 분 나왔습니다
냅킨 조금 더 주세요,여기 있습니다
새로 나온 메뉴가 어떤 거였죠 ,자바칩 프라푸치노입니다
지금 주문 가능한가요 ,재료가 다 떨어져서 지금은 주문이 어렵습니다
그냥 아이스 아메리카노로 할게요,테이크아웃 하시나요 
마시고 갈 거예요,네 알겠습니다
제일 잘 나가는 메뉴가 뭐에요,라이트한 맛의 아이스 아메리카노가 잘나가요
포인트 적립은 번호로 입력해도 되나요 ,네 가능합니다
이 기프티콘으로 다른 메뉴 변경 가능한가요 ,네 대신 기프티콘 금액보다 적은 건 안되세요
자몽차 따뜻한 거 하나하고요 적립도 할게요,드시고 가시나요 
아뇨 테이크아웃 할 거예요,적립 바코드 보여주시겠어요 
네,적립되셨고 기프티콘 바코드도 보여주시고요
현금영수증도 부탁드려요,네 번호 불러주세요
아메리카노 한 잔 주세요,따뜻한 거랑 차가운 거 어떤 걸로 드릴까요 
아이스로 주세요,네
혹시 아메리카노 조금만 연하게 타주실 수 있나요 ,저희 2샷 들어가는데 샷 하나만 넣어드릴까요 
네 그리고 케이크 종류는 뭐가 있나요 ,죄송합니다 저희 매장은 케이크를 판매하지 않습니다
치즈베이글도 하나 주세요,네 핸드폰 알림 울리면 가지로 오세요
아메리카노 하나 주세요,네 준비해드릴게요
베이글는 어떤 게 잘 나가나요,치즈 베이글가 잘 나갑니다
치즈베이글랑 포크 2개 주실 수 있나요,네 가능합니다
현금영수증 해주세요,네 번호 눌러주세요
혹시 테이크아웃 잔에 받을 수 있나요,그건 정책상 불가능합니다
라떼 한 잔이요,네 4500원입니다
신맛이 없는 걸로 주세요,네 4000원입니다
적립해주세요,네 알겠습니다
초코베이글도 주세요,저희 베이글가 다 떨어졌어요
라테만 주세요,네 잠시만 기다려 주세요
카페라떼 한 잔 주세요,네 드시고 가시나요 
아니요 테이크아웃 할게요,휘핑크림은 올려 드릴까요 
휘핑크림은 빼주세요,네 4500원입니다
네 현금영수증 해주세요,네 여기 핸드폰 번호 입력해주세요
어떤 커피가 잘나가요,라이트한 맛의 아이스 아메리카노가 잘나가요
네 알겠습니다,음료 나오면 불러드릴게요
주차는 가게 앞에도 해도 되나요 ,네 가게
에스프레소는 얼마인가요 ,죄송합니다 에스프레소는 판매하지 않습니다
토마토주스 설탕 빼고 한 잔 주세요,네
마감시간은 언제인가요 ,10시입니다
사장님은 어디 가셨나요 ,병원에 가셨습니다
자바칩 프라푸치노 겨울에도 되나요 ,네 됩니다
자바칩 추가하면 얼마 더 내야 돼요 ,500원 추가로 내시면 됩니다
거기 어디에 있어요,광주 북구 첨단과기로 339 입니다
매장 주소가 뭐에요,광주 북구 첨단과기로 339 입니다
더블 샷도 추가 비용 있나요 ,제휴카드 있으시면 무료입니다
샌드위치는 어떤 종류가 있나요 ,뉴욕 치즈샌드위치랑 버팔로 베이컨 샌드위치가 있습니다
그럼 자바칩 프라푸치노 벤티 하나랑 블루베리 베이컨 하나 주세요,네 만 원입니다
아메리카노 한 잔 있어요 ,어느 사이즈로 드릴까요 
크기가 어떻게 있나요 ,솔로와 도피오와 트리플이 있어요
양이 제일 많은 것으로 주세요,트리플로 드리겠습니다
그리고 차가운 것으로 주세요,손님 저희 카페는 아이스 에스프레소를 하지 않습니다
그러면 아이스 아메리카노 가장 큰 사이즈로 주세요,아이스 아메리카노 점보 사이즈 한 잔 주문받았습니다
아이스 아메리카노 샷 추가 가능한가요 ,샷 추가 가능합니다 그렇게 주문 도와드릴까요 
잠시만요 한 번 여쭤볼게요,네 그러세요
샷 추가 말고 기본으로 주세요 샷 추가 안 하시겠대요,알겠습니다 결제는 어떻게 하시겠어요 
이 카드로 할게요,영수증 필요하시나요 
아니요 버려주세요,핸드폰 알람 울리면 찾으러 와주세요
여기 커피 중 어떤 게 맛있나요 ,아이스 아메리카노도 있고 다 맛있어요
아이스 아메리카노 한잔 주세요 아 그리고 샷 하나 추가요,무슨 사이즈로 드릴까요 
그란데요,더 필요하신 것 있으세요 
치즈케이크 하나 얼마에요 ,죄송합니다 저희 매장은 케이크를 판매하지 않습니다
그걸로 주세요,조금만 기다려 주세요
캐러멜마키아토 하나 주실래요 ,죄송합니다 저희 매장은 캐러멜마키아토를 판매하지 않습니다
그럼 그냥 아메리카노 주세요,안에서 드시나요 
아니요 테이크 아웃할게요,네 4500원 결제 도와드릴게요
카드 계산할게요,혹시 쿠폰 있으세요 
네 쿠폰 종이 4개 찍었어요,5개면 아메리카노 무료에요
카페에서 제일 많이 나가는 메뉴가 뭐예요 ,아이스 아메리카노입니다
디저트 중에 제일 잘나가는 건 뭐예요 ,인가가요 샌드위치 입니다
세트 메뉴 있나요 ,네 있습니다
그럼 세트메뉴로 하나 주세요,네 8000 원입니다
결제완료 현금영수증 해주세요,네 번호 입력해주세요
미팅룸이 마련되어 있나요 ,미팅룸은 따로 없습니다
단체가 앉을 테이블은 있나요 ,창가 쪽 넓은 테이블 이용하시면 됩니다
브런치류도 있나요 ,샌드위치와 베이글 종류가 있는데 준비해드릴까요 
샌드위치 여섯 개 준비해주세요,네 더 필요한 건 없으신가요 
아메리카노도 여섯 잔 부탁드립니다,바로 준비해드리겠습니다
지금 영업하시나요 ,네 오늘은 일찍 문 열었어요
아이스 아메리카노 하나 주세요,네 드시고 가시 나요 
아니요 가지고 갈 거예요,4000 원입니다
영수증도 주세요,네 여기 있습니다
얼마나 걸리나요 ,10분 정도 기다려 주세요
커피 주세요 ,어떤 커피로 드릴까요 
아메리카노 주세요,시원한 정도를 말씀해 주시겠어요 
아이스 아메리카노요,더 필요하신 건 없으신가요 
네,결제를 도와드리겠습니다
카드로 해 주세요,포인트는 있으신가요 
라떼는 어떤 종류가 있나요 ,초코라떼가 있습니다
바닐라 라떼에는 뭐가 들어가나요 ,에스프레소 스팀우유 바닐라 시럽이 들어갑니다
바닐라 라떼는 얼마인가요 ,오천 원입니다
주문하면 얼마나 걸리나요 ,10분 이내에 나옵니다
테이크아웃하면 할인되나요 ,테이크아웃할 경우 오백 원 할인 적용해 드립니다
커피 메뉴 말고는 없나요 ,여기 보시면 티도 있고 디저트 메뉴도 있습니다
제일 잘나가는 디저트는 어떤 건가요 ,초코 케이크가 가장 유명해요
그럼 초코 케이크랑 가장 잘 어울리는 음료는 어떤 건가요 ,아메리카노나 밀크티를 보통 같이 주문하세요
그러면 밀크티 한 잔과 초코케이크 한 조각 주세요,네 현금으로 하시겠어요 
아니요 카드로 결제할게요,네 금방 준비해드리겠습니다
지금 초콜릿 프라푸치노 되나요 ,네 됩니다 사이즈 어떤 걸로 드릴까요 
톨 사이즈요,크림 위에 올려드릴까요 
네 올려주세요,다른 건 필요한 거 없으신가요 
네 없어요,할인이나 적립카드 있으신가요 
네 있어요 하나카드요,전화번호 불러주세요
카페라떼 한 잔이요,네 뜨거운 거요 아니면 아이스요 
아이스로 주세요,포인트 적립하시나요 
네 잠시만요,쿠폰 없으시면 핸드폰 번호 불러주셔도 됩니다
핸드폰 번호로 부르겠습니다,네 불러주세요
010 0000 0000입니다,적립되셨습니다
메뉴판 보여주실 수 있나요 ,네 여기 있습니다
아이스 라떼 우유 말고 두유로 변경 가능한가요 ,네 가능합니다
변경하면 얼마죠 ,변경해서 4500원입니다
텀블러에 담아주세요,네 알겠습니다
쿠폰 찍어주세요,찍어 드렸습니다
쿠폰 찍어주세요,네 뜨거운 거 맞으시죠 
네 맞아요,4500원입니다
포인트 사용할 수 있나요 ,네 사용 가능합니다
카드 포인트로 사용해주세요,사용하셔서 4000원 결제 도와드리겠습니다
감사합니다,좋은 하루 보내세요
라떼는 얼마에요 ,4500원입니다
라떼 두 잔 주세요,따듯한 라떼로 준비해 드릴까요 
아니요 시원한 걸로 주세요,아이스 라떼 두 잔 준비해 드리겠습니다
현금 영수증 가능하죠 ,앞에 키패드에 번호 입력해 주세요
매장에 사 마시고 가도 되죠 ,네 그럼 유리잔에 준비해 드리겠습니다
아이스 아메리카노 샷 몇 개 들어가나요 ,고객님 아이스 아메리카노는 샷 두 개 들어가요
샷 추가 시 얼마인가요 ,500원입니다
아이스 아메리카노 샷 추가 하나랑 아이스 초코 라떼 한 잔 주세요,초코 라떼 위에 휘핑크림 올려드릴까요 
커피종류는 어떤게 있어요,에스프레소 라떼 드랍커피 준비 되어 있습니다
휘핑크림 빼주세요,네 알겠습니다
먹고 갈게요,네 그럼 머그잔으로 준비해드리겠습니다
아이스 아메리카도 디카페인 가능한가요 ,네 가능합니다
잠시 앉아있다 바로 나갈 건데 테이크아웃으로 해주실 수 있나요 ,나가실 때 테이크아웃에 담아드리겠습니다
할인되는 카드도 있나요 ,네 있습니다 포인트 적립도 가능합니다
충천을 하고 싶은데 가능한가요 ,저희는 따로 해드리지는 않고 의자 근처에 콘센트는 있습니다
산미가 많이 들어간 커피는 뭐가 있을까요 ,에티오피아 커피가 있습니다
혹시 배달되나요 ,걸어서 5분 내에 있으면 배달해드리고 있습니다
많이 주문할 건데 괜찮을까요 ,몇 잔 주문하실 건가요 
아이스커피 6잔이랑 제몬에이드 6잔 그리고 베이글 12개요,제가 혼자 운영하다 보니 그렇게 많은 양은 배달해 드리기 어렵습니다
그러면 5시에 가져갈 수 있도록 준비해주실 수는 있나요 ,네 5시까지 포장은 다 해드릴 수 있습니다
그럼 이따 5시에 다시 오면 될까요 ,네 미리 준비해 놓도록 하겠습니다
아이스 카페라떼 한 잔이요,4500원입니다
텀블러에 담아 갈게요,네 알겠습니다
빠르게 되는 걸로 주세요,광주 북구 첨단과기로 339 입니다
텀블러 이용 시 할인 얼마나 되죠,300원 할인해 드립니다
카드로 계산할게요,네 카드 받았습니다
지금까지 적립금 알 수 있을까요,적립금 1000원 쌓여있습니다
카푸치노 아이스로 되나요 ,가능합니다
어린이가 먹을 수 있는 음료 있나요 ,과일주스나 우유가 들어간 초코 음료 추천드릴게요
빵이나 샌드위치 메뉴가 있나요 ,베이글 샌드위치와 머핀이 있습니다
흡연할 수 있는 공간이 있나요 ,카페 옆에 흡연장소가 마련되어 있습니다
카푸치노는 이 쿠폰으로 계산해도 되나요 ,네 이거로 결제해드릴게요
아이스 아메리카노 레귤러 사이즈 얼마인가요 ,1800원입니다
얼음은 갈아서 넣어주실 수 있나요 ,네 그렇게 해드리게요
포인트카드 적립되나요 ,네 됩니다
카드로 계산할게요,네 계산 완료했습니다
흡연,흡연실 가게 왼편에 준비 됐습니다
시럽은 어디에 있나요 ,왼쪽 판매대 쪽에 있습니다
아메리카노 한잔 주세요,사이즈는 어떤 걸로 드릴까요 
작은 사이즈로 부탁드려요,필요한 디저트류는 없으신가요 
여기 이 쿠키는 단맛이 강한가요 ,버터 쿠키보다 초코 쿠키가 단맛이 조금 덜합니다
그럼 초코 쿠키도 1봉지 부탁드려요,아메리카노 한 잔과 초코 쿠키 한 봉지 가격은 4500원입니다
여기 기프트 카드로 결제 부탁해요,네 결제 완료되었습니다
아메리카노 4000원 하나 주문하겠습니다,네 아이스랑 핫 중 어느 것으로 드릴까요 
아이스로 부탁합니다,네 아이스는 500원 추가됩니다
사이즈는 라지로 부탁드리겠습니다,라지는 기본에 500원 추가가 됩니다
그럼 계산 부탁드리겠습니다,네 5000원 계산 도와드리겠습니다
혹시 쿠폰 할인도 가능한가요 ,네 쿠폰 할인으로 2000원 결제 도와드리겠습니다
아이스 아메리카노 하나 주세요,사이즈는 어떤 걸로 드릴까요 
사이즈 종류 좀 말해주세요,톨 그란데 벤티 사이즈 있습니다
그란데로 부탁드려요,준비 다 되면 핸드폰 알림 울려드리겠습니다
얼마나 걸릴까요 ,5분 정도 걸릴 거 같아요
주차 증도 주세요,음료 드릴 때같이 드릴게요
에이드 종류 있나요 ,네 3가지 있습니다
레몬맛은 얼마죠 ,4500원입니다
그리고 휘핑해주세요,휘핑 종류 선택해주세요
저지방 휘핑으로 해주세요,저지방 휘핑 올린 딸기 스무디 나왔습니다
아 그리고 오늘 영업은 몇 시까지 하나요 ,오늘 영업은 10시까지 합니다
지금 플랫 화이트 되나요 ,우유가 지금 떨어져서 어렵습니다
그러면 아메리카노는 되나요 ,네 가능합니다
원두는 브라질산인가요 ,베이스는 케냐이고 이탈리아 만델리 원두를 섞어 씁니다
조금 더 쓴맛이 나는 것은 없나요 ,오늘 준비된 원두는 페루산만 있습니다
그러면 아메리카노 라지 사이즈 하나 주세요,네 아이스로 준비해드릴게요
아메리카노 하나 주세요,사이즈는 어떤 걸로 드릴까요 
라지 사이즈로 주세요,드시고 가세요 
아니요 포장해주세요,스탬프 쿠폰 만들어드릴까요 
네 만들어주세요,다른 건 필요 없으세요 
생크림 케이크는 얼마인가요 ,케익류는 조만간 준비하도록 하겠습니다
음료가 언제 나오나요 ,곧 준비해드리겠습니다
쿠폰 몇 장 모아야 한잔 무료인가요 ,10장 모으시면 한잔 무료입니다
몇 시부터 마감하시죠 ,밤 9시부터 마감이에요
콘센트가 있는 자리는 어디입니까 ,카운터 맞은편 자리에 콘센트 가까이 준비되어 있습니다
아이스 아메리카노 3잔에 얼마에요 ,12000원입니다
주문 가능한가요 ,네 가능합니다
아메리카노 한 잔에 얼마죠 ,4000원입니다
아이스도 똑같은가요 ,네 똑같습니다
샷 추가 가능한가요 ,한 샷 당 500원 추가됩니다
아이스 아메리카노 한 잔에 샷 추가해주시고 현금영수증도 부탁드립니다,네 번호 입력해주세요
미숫가루 되나요 ,아니요 3월부터 개시하였습니다
사이즈업하면 얼마죠 ,500원 추가되어 4500원입니다
그럼 미숫가루 사이즈업 2잔 주문할게요,죄송합니다 계절 메뉴라 겨울에는 하지 않습니다
테이크아웃 할 거예요,트레이에 담아드리겠습니다
베이글 한 조각도 추가할게요,3000원 추가되어 총 11000원 결제 도와드리겠습니다
자바칩 프라푸치노 주세요,무슨 사이즈로 드릴까요 
어떤 사이즈가 있나요 ,톨 그란데 벤티 사이즈가 있습니다
그란데 사이즈로 부탁드립니다,할인카드나 멤버십 카드 있으신가요 
네 있습니다,적립해드렸습니다
음료는 언제 나오나요 ,5분 안에 핸드폰 알림으로 불러드리겠습니다
기프티콘 사용은 어떻게 하면 되나요 ,기프티콘 금액만큼 현금으로 사용하실 수 있습니다
그럼 아이스 아메리카노랑 치즈케이크 주세요,그렇게 하실 경우 가격이 초과되어 추가요금 내셔야 합니다
추가요금 얼마나 내면 되나요 ,지금 기프티콘 가격이 5100원이니 해당 금액 제외하고 2500원 추가요금 결제하시면 됩니다
카드로 결제할게요,앞에 보이시는 카드 단말기에 카드 꽂아주시기 바랍니다
매장 위치가 어디에요,광주 북구 첨단과기로 339 입니다
쿠폰 적립되나요 ,쿠폰 적립해드릴게요
행사 중인 메뉴 있나요 ,아침에 샌드위치 구매하시면 아메리카노 천원 할인해드려요
아메리카노 아이스로 가능한가요 ,아이스는 500원 추가됩니다
커피 대신 추가 금액 내면 다른 음료도 가능한가요 ,음료는 아메리카노만 가능해요
샌드위치 따뜻하게 가능한가요 ,전자레인지에 데워드릴게요
카카오 페이로 결제 가능한가요 ,휴대폰 주시면 결제 도와드릴게요
여기 대표 메뉴가 무엇인가요 ,라이트한 맛의 아이스 아메리카노 입니다
시럽도 커피가 들어가나요 ,아니요 들어가지 않습니다
커피는 몇 샷 들어가나요 ,기본적으로 커피는 투 샷 들어갑니다
흡연실,흡연실 가게 왼편에 준비 됐습니다
혹시 커피를 좀 연하게 타주실 수 있나요 ,네 가능합니다
가격은 얼마인가요 ,4000원입니다
아메리카노 한 잔 주세요,따뜻한 걸로 드릴까요 
네 대신 얼음 두 조각만 넣어주세요,네 4000원입니다
케이크는 뭐가 맛있나요 ,죄송해요 케이크는 지금 준비 중입니다
많이 달지 않나요 ,많이 달지 않습니다
샌드위치도 같이 주세요,네 9000원입니다
아이스 아메리카노 한 잔 샷 추가해서 주세요,샷을 추가하면 500원 추가되는데 괜찮으시겠어요 
네 추가해주세요,샷을 한 번 내리는데 두 샷이 나오는데 두 개 다 넣어드릴까요 
어떤 메뉴가 잘나가요,라이트한 맛의 아이스 아메리카노가 잘나가요
네 그렇게 해주세요,드시고 가시면 머그잔에 드리는 것 괜찮으신가요 
아 저 갖고 갈 거라 테이크아웃잔에 주세요,4000원 결제해드리겠습니다
카카오 페이로 결제할게요,네 커피 여기 있습니다
혹시 찬물이 따로 있나요 ,저쪽 벽에 있습니다
물이 다 떨어졌는데요 ,다시 채워드리겠습니다
얼음도 넣어주세요,네 얼음도 넣어드릴게요
주문해도 될까요 ,네 어떤 거로 드릴까요 
초코 라떼 따뜻하게 하나요,오브콜스 물론입니다 4천500원입니다
아메리카노 하나 주세요,레귤러 라지 맥스 사이즈 있습니다
라지로 주세요,따뜻한 것과 차가운 것 어떤 것으로 하시겠어요 
따뜻한 아메리카노요,4000원입니다
4100원이면 맥스 사이즈로 주세요,4500원입니다
5000원 드릴게요 거슬러 주세요,현금영수증 하시겠어요 
블랙 티 되나요 ,얼그레이와 잉글리시 브렉퍼스트가 있는데 어떤 걸로 하시겠어요 
얼그레이로 부탁드려요,따뜻한 걸로 드릴까요 
네 따뜻한 걸로 주세요,드시고 가시면 머그컵에 준비해드려도 괜찮을까요 
네 그렇게 해주세요,뭐 더 주문하실 건 없으신가요 
베이글도 하나 데워주세요,네 8000원입니다
바닐라 라떼 주세요,사이즈는 어떤 걸로 하시겠어요 
커피는 뭐가 있어요,에스프레스 라떼 드랍커피 준비 되어 있습니다
그란데 사이즈로 부탁드릴게요,통신사 할인하시나요 
네 잠시만요 핸드폰 좀 꺼내겠습니다,통신사 할인되셨는데 포인트도 적립하시겠어요 
네 포인트 적립하겠습니다,앞에 번호 찍어주세요
혹시 음료는 몇 분 뒤에 나오나요 ,2분 안에 나올 예정입니다
흡연공간 있나요,흡연실 가게 왼편에 준비 됐습니다
아메리카노 한 잔 주시겠어요 ,따뜻한 것과 아이스 중 어떤 걸로 드릴까요 
아이스로 주세요,사이즈는 톨 괜찮으세요 
톨 제일 작은 사이즈인가요 ,네 톨 그란데 벤티 사이즈가 있습니다
그란데 사이즈로 주세요,드시고 가시나요 
네 개인 텀블러에 부탁드립니다,잠시만 기다려주세요
주문 가능한가요 ,네 잠시만 기다려주세요
아인슈페너는 무엇인가요 ,비엔나커피 같은 것입니다
아이스도 될까요 ,네 가능합니다
케이크도 함께 주문 가능한가요 ,네 가능합니다
초코 쇼콜라티에 블랙베리 무스 케이크는 뭔가요 ,초코무스와 블랙베리 무스로 이루어진 케이크입니다 그런데 아직 준비 중입니다
자바칩 프라푸치노 한 잔 주시겠어요 ,5500원입니다
kt 멤버십 있으면 사이즈업 가능한가요 ,가능합니다
휘핑 추가도 할게요,추가요금 500원을 받는데 괜찮으세요 
네 추가할게요,총 6000원 결제 도와드리겠습니다
멤버십 적립도 같이 할게요,바코드 보여주시면 도와드리겠습니다
에스프레소 가능한가요 ,네 고객님
여기 원두는 어떤 걸 쓰나요 ,베이스는 케냐이고 이탈리아 만델리 원두를 섞어 씁니다
와이파이 사용 가능한가요 ,네 비밀번호는 테이블에 적혀있습니다
화장실이 어디죠 ,카운터 오른쪽에 있어요
그럼 에스프레소 한 잔 부탁드립니다,쿠폰 찍어드릴까요 
원두 선택할 수 있나요 ,3가지 종류 중에 고르실 수 있으십니다
아이스 아메리카노 기본 몇 샷 들어가나요 ,투 샷 들어가는데 원하시면 추가 제거 가능하십니다
아이스 아메리카노와 따뜻한 아메리카노 가격 차이 있나요 ,아니요 아메리카노는 아이스여도 추가 금액 받지 않습니다
한 잔에 얼마인가요 ,이천오백 원입니다
8잔 지금 가능한가요 ,아메리카노는 금방 나오기 때문에 10분 정도 기다려 주시면 됩니다
아이스 아메리카노 작은 걸로 하나 주세요,다른 건 필요한 거 없으신가요 
아 쿠키도 하나 같이 계산해주세요,어떤 쿠키로 드릴까요 
오트밀 쿠키로 주세요,오트밀 쿠키 하나 아이스 아메리카노 한잔 맞으시죠 
네 얼마인가요 ,다 합해서 3500원입니다
카드로 계산할게요,네 카드 받았습니다
카페라떼 샷 추가되나요 ,가능합니다
기본 투 샷인가요 ,네
카페라떼 샷 추가해서 주세요,드시고 가시나요 
테이크아웃입니다,포인트 있으세요 
그냥 결제해주세요,4000원 결제해드리겠습니다
아포가토 주문 가능한가요 ,지금 아이스크림이 없어 주문 불가합니다
그럼 아메리카노 하나 주세요,네 알겠습니다
통신사 카드 할인되나요 ,네  KT 사용하시면 가능합니다
할인 부탁드립니다,네 할인되었습니다
흡연실 따로 있나요,흡연실 가게 왼편에 준비 됐습니다
자리에서 기다리면 되나요 ,음료가 나오면 불러드리겠습니다
티 주세요,어떤 티로 드릴까요 
허브티 어떤 게 있어요 ,허브티는 준비 중인데 과일티는 어떠 신가요
자몽티 주세요,따뜻한 걸로 드릴까요 
차가운 걸로 주세요,금방 준비해 드릴게요
얼마에요 ,4500원입니다
라떼 한 잔 얼마에요 ,4500원입니다
라떼 한 잔에 샷이 몇 개 들어가나요 ,샷은 2개 들어갑니다
주소가 어디에요,광주 북구 첨단과기로 339 입니다
라떼 위에 바닐라 아이스크림 올리면 얼마 추가되나요 ,1500원 추가됩니다
케이크는 뭐가 제일 잘나가요 ,딸기 철이라 딸기 케이크가 제일 잘나갑니다
제 텀블러 사용하면 텀블러 할인되죠 ,네 당연하죠
아메리카노 주세요,뜨거운 걸로 드릴까요 
아니요 아이스로요,네 4000원입니다
기본 2샷인가요 ,아니오 1샷이요
그럼 샷 추가해주세요,500원 추가됩니다
결제완료,감사합니다 핸드폰 알림 울리면 가지로 오세요
아메리카노 하나요,아이스인가요 
아뇨 핫으로요,네 드시고 가세요 
테이크아웃이요,결제 도와드릴게요
카드 여기요,영수증 필요하세요 
네 감사해요,영수증 여기요
아이스 음료도 사이즈업 가능한가요 ,어떤 음료 말씀하시는 건가요 
화이트초콜릿 라떼 아이스요,그 음료는 사이즈 업은 안됩니다
그럼 그냥 보통 사이즈 주시고 거기에 얼음 좀 많이 해서 주세요,고객님 화이트 초콜릿 모카 아이스로 얼음 많이 맞으신가요 
맞습니다,가격은 5000원입니다
포인트 적립해주세요,적립해드렸습니다
1인 1메뉴 인가요,네 저희 매장은 1인 1메뉴를 원칙으로 하고 있습니다
노키즈존 있나요,2층은 노키즈존 입니다
아메리카노 한 잔 주세요,따뜻한 아메리카노로 드릴까요 
아니요 아이스로 주세요,네 4000원입니다
샷 추가는 얼마인가요 ,샷 추가는 500원입니다
그럼 샷 추가해주세요,네 더 필요한 건 없으세요 
없습니다,핸드폰 알림 울리면 가지로 오세요
바닐라 라떼 주문 가능한가요 ,네 가능합니다
그럼 바닐라 라떼랑 블루베리 크림 베이글 하나 주세요,바닐라 라떼에 휘핑 올려드릴까요 
네 올려주세요,네 와플은 잘라드릴까요 
반으로 잘라주세요,네 9천 원 결제 도와드리겠습니다
네 현금영수증 해주세요,네 감사합니다 핸드폰 알림 으로 알려드릴께요
아메리카노 샷 추가해서 주세요,따뜻하게 드릴까요 
아이스 아메리카노로 주세요,그럼 아이스 아메리카노 하나 주문 도와드리겠습니다
얼마예요 ,샷 추가하셔서 4000원입니다
카드 결제할게요,네 결제 도와드리겠습니다
쿠폰도 찍어주세요,네 찍어드리겠습니다
아이스 아메리카노 두 잔 주세요,8000원입니다
할인되는 카드나 적립 카드 있나요 ,유플러스 멤버십 있으시면 사이즈 업 돼요
그럼 하나는 사이즈 업해주세요,그리고 국민카드 하시면 지금 적립 두배 됩니다
국민카드는 없네요,네 그럼 유플러스 바코드 주시면 한잔 사이즈 업해드릴게요
여기 있습니다,네 핸드폰 알림 울리면 가지로 오세요
초코 라떼 되나요 ,네 따뜻하게 차갑게 모두 가능하세요
아이가 마실 거라 얼음은 반만 넣어 주세요,그러면 양이 적어 보일 수 있는데 괜찮으세요
아이는 조금 먹으니까 괜찮아요,드시고 가시나요 
가지고 갈 거예요,핸드폰 알림으로 알려드릴 테니 조금만 기다려 주세요
저 화장실에 잠시 다녀올 테니 한쪽에 놔주세요,네 알겠습니다
오늘의 커피는 어떤 건가요 ,오늘의 커피는 과테말라입니다
숏 되나요,네 5분 정도 걸리는데 괜찮은가요 
기다리겠습니다,잠시 후 번호를 부르겠습니다
저기 있는 아이스크림은 뭐지요 ,시식할 수 있습니다
일행이 있는데 2개 가져가도 되나요 ,네 가져가셔도 됩니다
아이스 아메리카노 한 잔 얼만가요 ,4000원 입니다
담배,흡연실 가게 왼편에 준비 됐습니다
사이즈 업 가능한가요 ,네 가능하십니다
얼음은 각 얼음이랑 갈린 얼음 중에 고를 수 있나요 ,네 고르실 수 있습니다
샷 추가도 추가 비용 발생하죠 ,네 500원 추가 비용 있으십니다
네 현금영수증 해주세요,번호 눌러주세요
딸기 셔벗 되나요 ,아니요 계절 메뉴라 지금은 불가능해요
그럼 주문 가능한 셔벗이 있을까요 ,셔벗은 모두 불가능합니다
그럼 팥빙수도 불가능한가요 ,네 죄송합니다
빙수에 얼음은 조금만 넣어주실 수 있나요 ,가능한데 양이 적을 수 있어요
얼음은 기존보다 조금만 적게 주시겠어요 ,네 얼음 적게 팥빙수 주문받았습니다
아메리카노 하나요,따뜻한 거 드릴까요 
네 따뜻한 걸로 주세요,사이즈는 어떤 걸로 드릴까요 
제일 작은 사이즈로 주세요,적립은 해드릴까요 
네 해주세요,번호 눌러주시기 바랍니다
네 해주세요,에스프레스 라떼 드랍커피 준비 되어 있습니다
네 눌렀습니다,음료 나오면 폰 알림으로 알려드릴게요
인기 있는 메뉴가 무엇인가요 ,런치세트로 샌드위치와 아메리카노가 잘 나갑니다
그걸로 주시고 카드 가능하죠 ,네 가능합니다
통신사 멤버십 할인 가능한가요 ,여기 쓰여있는 곳만 가능합니다
그럼 멤버십 할인해주세요,알겠습니다
도장 쿠폰은 없어졌나요 ,네 이번 달부터 없어졌습니다
아메리카노 디카페인 있나요 ,디카페인은 없고 1 2카페인은 있습니다
가격은 얼마인가요 ,4100원입니다
카카오페이 되나요 ,카카오페이는 내일부터 가능할 예정입니다
그럼 그냥 현금으로 할게요,현금영수증 해드릴까요 
네 해주세요,휴대폰 번호 찍어주세요
아메리카노 한 잔 주세요,따뜻한 것으로 드릴까요 
음료에 시럽 빼주실 수 있나요 ,네 빼드릴게요
사이즈 업 가능한가요 ,미디엄과 라지 중 골라주세요
음료에 이물질이 들어가 있어요,다시 만들어드릴게요
몇 시까지 영업하나요 ,열시에 문 닫아요
위치가 어디에요,광주 북구 첨단과기로 339 입니다
인기 있는 메뉴가 뭔가요 ,네 초코 라떼가 인기가 좋아요
단맛이 강한 편인가요 ,원하시면 당도를 조절해 드려요
그럼 많이 달지 않게 부탁드릴게요,네 아이스로 드릴까요 
아니요 따뜻하게 부탁드릴게요,결제 도와드리겠습니다
혹시 카페 쿠폰 주시나요 ,네 도장 찍어드립니다
노키즈존,2층은 노키즈존 입니다
아이스 아메리카노 1잔 딸기 스무디 1잔 주세요,지금 딸기가 다 떨어져서 딸기 스무디가 안 될 것 같습니다
그럼 아이스 아메리카노 2잔 주세요,적립 도장 찍으시나요 
